No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
1,2015,1,1,0,13,50,19,29,500,28,-1,1027,-22.4,0,NNW,4.4,Aotizhongxin
2,2015,1,1,1,11,30,15,31,600,27,-1,1027,-23.7,0,N,5.6,Aotizhongxin
3,2015,1,1,2,13,33,16,32,600,26,-1,1028,-23.7,0,N,4.2,Aotizhongxin
4,2015,1,1,3,10,29,10,25,500,31,-1,1029,-24.4,0,N,4.4,Aotizhongxin
5,2015,1,1,4,12,25,14,33,700,24,-2,1027,-23.2,0,ENE,1.4,Aotizhongxin
6,2015,1,1,5,12,24,10,34,600,23,-5,1030,-23.5,0,N,1.1,Aotizhongxin
7,2015,1,1,6,6,18,4,19,500,34,-6,1029,-23.8,0,NE,1.6,Aotizhongxin
8,2015,1,1,7,11,22,7,25,500,28,-7,1030,-24.2,0,NE,2,Aotizhongxin
9,2015,1,1,8,12,20,11,49,600,10,-6,1028,-23.8,0,E,0.9,Aotizhongxin
10,2015,1,1,9,12,20,11,50,NA,11,-5,1026,-23.5,0,ENE,1.7,Aotizhongxin
11,2015,1,1,10,15,21,19,29,600,29,-1,1029,-23,0,ENE,1.1,Aotizhongxin
12,2015,1,1,11,11,20,17,25,600,34,1,1026,-23.6,0,SW,2.1,Aotizhongxin
13,2015,1,1,12,25,40,20,50,900,20,1,1022,-23.6,0,WSW,2.9,Aotizhongxin
14,2015,1,1,13,44,72,26,52,1100,31,2,1021,-23.6,0,SSW,2.6,Aotizhongxin
15,2015,1,1,14,51,80,25,45,1100,41,3,1024,-22.8,0,W,2.5,Aotizhongxin
16,2015,1,1,15,51,80,19,40,1000,48,3,1023,-23.7,0,SW,3.7,Aotizhongxin
17,2015,1,1,16,41,66,15,33,800,50,2,1019,-23.6,0,SW,2.8,Aotizhongxin
18,2015,1,1,17,47,105,19,41,900,43,1,1019,-22.8,0,SW,2.4,Aotizhongxin
19,2015,1,1,18,65,109,27,57,1200,30,-1,1021,-21.2,0,SW,1.4,Aotizhongxin
20,2015,1,1,19,88,116,36,87,1400,4,-4,1020,-18.3,0,WNW,1,Aotizhongxin
21,2015,1,1,20,82,109,38,93,1400,2,-5,1017,-19.9,0,SW,1.3,Aotizhongxin
22,2015,1,1,21,93,121,46,101,1700,2,-5,1018,-18.1,0,ENE,1.4,Aotizhongxin
23,2015,1,1,22,93,124,44,99,1900,2,-6,1019,-17.7,0,ENE,0.9,Aotizhongxin
24,2015,1,1,23,98,130,49,100,2300,2,-5,1023,-18.1,0,NNE,1.1,Aotizhongxin
25,2015,1,2,0,109,134,49,100,2600,2,-7,1020,-18.1,0,ENE,1.5,Aotizhongxin
26,2015,1,2,1,111,139,60,102,2700,2,-5,1019,-18.5,0,ENE,0.6,Aotizhongxin
27,2015,1,2,2,101,123,51,93,2400,2,-7,1023,-16.7,0,NW,0,Aotizhongxin
28,2015,1,2,3,72,102,32,88,1700,2,-8,1026,-16.4,0,NE,0.6,Aotizhongxin
29,2015,1,2,4,48,82,26,77,1300,2,-1,1022,-18.1,0,N,1.6,Aotizhongxin
30,2015,1,2,5,25,48,18,54,900,10,-5,1025,-18.8,0,ENE,0.8,Aotizhongxin
31,2015,1,2,6,18,33,20,47,800,13,-2,1022,-18.6,0,ESE,2.2,Aotizhongxin
32,2015,1,2,7,13,23,16,45,700,15,-5,1026,-19.2,0,NW,0.6,Aotizhongxin
33,2015,1,2,8,14,22,14,62,700,2,-5,1023,-18.8,0,NNE,0.9,Aotizhongxin
34,2015,1,2,9,13,22,16,59,700,8,-2,1029,-17.7,0,ENE,1.9,Aotizhongxin
35,2015,1,2,10,23,29,20,52,800,17,1,1024,-17.9,0,ENE,2.5,Aotizhongxin
36,2015,1,2,11,34,51,26,52,1000,21,2,1025,-18.1,0,NNE,2.1,Aotizhongxin
37,2015,1,2,12,24,32,25,35,800,35,3,1024,-18.4,0,WSW,0.8,Aotizhongxin
38,2015,1,2,13,20,24,23,29,600,41,4,1025,-18.9,0,NNW,0.9,Aotizhongxin
39,2015,1,2,14,17,24,23,35,700,38,4,1023,-19.6,0,SSW,0.8,Aotizhongxin
40,2015,1,2,15,22,30,22,42,700,36,4,1024,-19.6,0,WSW,3.6,Aotizhongxin
41,2015,1,2,16,38,69,27,74,1100,15,3,1020,-19.1,0,WSW,3.8,Aotizhongxin
42,2015,1,2,17,81,142,47,88,1500,12,2,1024,-18.1,0,WSW,2.8,Aotizhongxin
43,2015,1,2,18,104,172,53,92,1600,8,2,1020,-17.5,0,SW,4.1,Aotizhongxin
44,2015,1,2,19,90,134,40,79,1400,13,1,1023,-17.9,0,WSW,3.6,Aotizhongxin
45,2015,1,2,20,87,117,43,75,1500,16,0,1020,-17.3,0,WSW,2.3,Aotizhongxin
46,2015,1,2,21,101,135,54,86,1800,10,-1,1018,-16.8,0,WSW,1.6,Aotizhongxin
47,2015,1,2,22,118,147,58,100,2000,2,-5,1021,-17.2,0,SW,0.7,Aotizhongxin
48,2015,1,2,23,137,179,63,101,2100,2,-6,1018,-14.3,0,NNW,0.7,Aotizhongxin
49,2015,1,3,0,141,215,59,100,2300,2,-7,1016,-15.9,0,SSE,0.4,Aotizhongxin
50,2015,1,3,1,136,158,65,106,3000,2,-7,1016,-12.7,0,ESE,0.4,Aotizhongxin
51,2015,1,3,2,132,163,56,107,3000,2,-6,1014,-16.9,0,NE,1.1,Aotizhongxin
52,2015,1,3,3,148,181,66,113,3800,2,-6,1019,-16.9,0,NE,1,Aotizhongxin
53,2015,1,3,4,178,222,87,119,4800,2,-5,1013,-16.8,0,ENE,1.2,Aotizhongxin
54,2015,1,3,5,177,209,76,115,4500,2,-5,1014,-16.8,0,ENE,1.6,Aotizhongxin
55,2015,1,3,6,180,218,79,109,4500,2,-4,1012,-16.6,0,ENE,1.6,Aotizhongxin
56,2015,1,3,7,171,217,79,107,4500,2,-4,1011,-17.2,0,ENE,1.7,Aotizhongxin
57,2015,1,3,8,162,202,93,99,4000,2,-4,1014,-16.9,0,NE,1.8,Aotizhongxin
58,2015,1,3,9,152,200,99,95,3900,2,-4,1013,-16.3,0,NE,1.7,Aotizhongxin
59,2015,1,3,10,147,194,97,95,3800,2,-1,1012,-14.9,0,ENE,2,Aotizhongxin
60,2015,1,3,11,139,176,92,96,3300,2,0,1009,-16.4,0,E,0.9,Aotizhongxin
61,2015,1,3,12,145,181,94,102,3200,2,1,1010,-16.4,0,E,0.8,Aotizhongxin
62,2015,1,3,13,168,195,93,108,3100,3,3,1007,-16.2,0,NNW,1,Aotizhongxin
63,2015,1,3,14,167,193,83,112,2800,7,3,1006,-17.3,0,NE,0.9,Aotizhongxin
64,2015,1,3,15,161,191,78,122,2900,2,4,1010,-16.4,0,NNW,0.7,Aotizhongxin
65,2015,1,3,16,158,182,76,129,2900,2,3,1006,-15.7,0,WNW,1,Aotizhongxin
66,2015,1,3,17,158,187,67,135,3100,2,0,1010,-15.2,0,WSW,0.8,Aotizhongxin
67,2015,1,3,18,154,179,54,134,3100,2,-2,1007,-12.1,0,WNW,0.6,Aotizhongxin
68,2015,1,3,19,168,202,67,140,3800,2,-4,1010,-15,0,ENE,0.8,Aotizhongxin
69,2015,1,3,20,185,217,83,150,3700,2,-5,1011,-13.4,0,WNW,0.9,Aotizhongxin
70,2015,1,3,21,179,210,68,145,3800,2,-5,1009,-13.6,0,E,0.2,Aotizhongxin
71,2015,1,3,22,176,202,60,139,3800,2,-6,1011,-13.2,0,ENE,0.4,Aotizhongxin
72,2015,1,3,23,182,218,67,141,3800,2,-7,1006,-12.3,0,NE,0.7,Aotizhongxin
73,2015,1,4,0,238,278,103,157,5600,2,-4,1011,-13.7,0,ENE,1.5,Aotizhongxin
74,2015,1,4,1,302,354,154,166,7000,2,-4,1007,-15,0,ENE,1.3,Aotizhongxin
75,2015,1,4,2,319,356,161,160,7100,2,-6,1011,-14.3,0,NW,1,Aotizhongxin
76,2015,1,4,3,276,313,123,141,6100,2,-7,1012,-12.5,0,S,0.6,Aotizhongxin
77,2015,1,4,4,180,180,72,107,3700,2,-8,1011,-14,0,NW,0.6,Aotizhongxin
78,2015,1,4,5,188,188,60,108,4100,2,-7,1007,-12.9,0,E,0.7,Aotizhongxin
79,2015,1,4,6,148,148,54,95,2900,2,-4,1009,-12.4,0,N,0.9,Aotizhongxin
80,2015,1,4,7,149,166,53,99,3300,2,-4,1009,-13.7,0,NE,1,Aotizhongxin
81,2015,1,4,8,210,234,77,114,5400,2,-5,1013,-12.7,0,WNW,1,Aotizhongxin
82,2015,1,4,9,142,147,60,90,3200,2,-4,1010,-13.2,0,WNW,1,Aotizhongxin
83,2015,1,4,10,129,164,61,93,3300,2,1,1013,-13.5,0,W,1.1,Aotizhongxin
84,2015,1,4,11,110,125,59,96,2800,2,4,1015,-14.3,0,ENE,1.7,Aotizhongxin
85,2015,1,4,12,92,102,39,79,1900,6,6,1008,-15.3,0,ENE,2.2,Aotizhongxin
86,2015,1,4,13,97,115,36,82,1800,13,8,1011,-14.9,0,ENE,2,Aotizhongxin
87,2015,1,4,14,100,118,37,83,1800,21,9,1012,-14.8,0,ENE,1.5,Aotizhongxin
88,2015,1,4,15,102,126,44,105,1900,10,8,1008,-14.3,0,NE,1.4,Aotizhongxin
89,2015,1,4,16,138,165,59,133,2300,4,7,1010,-14.5,0,ENE,1.2,Aotizhongxin
90,2015,1,4,17,168,219,81,147,2700,2,5,1010,-13.4,0,ENE,0.9,Aotizhongxin
91,2015,1,4,18,192,242,76,156,3400,2,3,1008,-12.9,0,S,1,Aotizhongxin
92,2015,1,4,19,219,276,89,166,4500,2,4,1013,-11.6,0,WSW,1.1,Aotizhongxin
93,2015,1,4,20,267,337,118,184,6600,2,1,1012,-11.1,0,E,0.2,Aotizhongxin
94,2015,1,4,21,295,364,135,190,7700,2,0,1010,-10.5,0,NNE,0.7,Aotizhongxin
95,2015,1,4,22,281,347,135,181,6900,2,3,1010,-9.6,0,NE,1.3,Aotizhongxin
96,2015,1,4,23,213,254,104,150,5200,2,3,1009,-8.7,0,NE,1.5,Aotizhongxin
97,2015,1,5,0,214,248,112,147,5300,2,3,1009,-10.3,0,NE,1.6,Aotizhongxin
98,2015,1,5,1,195,230,109,131,4800,2,3,1009,-8.4,0,NW,1,Aotizhongxin
99,2015,1,5,2,176,223,91,124,4500,2,2,1011,-8.2,0,NE,0.9,Aotizhongxin
100,2015,1,5,3,156,189,83,114,4300,2,1,1012,-8,0,NE,1.2,Aotizhongxin
101,2015,1,5,4,172,207,94,116,4600,2,2,1008,-8.2,0,ENE,0.8,Aotizhongxin
102,2015,1,5,5,204,246,115,128,5800,2,2,1009,-8.7,0,ENE,1.1,Aotizhongxin
103,2015,1,5,6,211,257,124,131,6100,2,1,1008,-8.3,0,E,0.6,Aotizhongxin
104,2015,1,5,7,179,206,107,121,5200,2,1,1011,-7.3,0,NE,0.7,Aotizhongxin
105,2015,1,5,8,157,199,113,122,5300,2,2,1009,-8.2,0,ENE,1.2,Aotizhongxin
106,2015,1,5,9,149,197,121,121,5200,2,3,1011,-7.8,0,ENE,1,Aotizhongxin
107,2015,1,5,10,183,249,142,136,6300,2,4,1013,-7.8,0,ENE,1.3,Aotizhongxin
108,2015,1,5,11,171,242,138,130,5000,2,7,1012,-9.9,0,N,2,Aotizhongxin
109,2015,1,5,12,88,151,52,70,2000,14,9,1013,-14.8,0,N,5.6,Aotizhongxin
110,2015,1,5,13,39,145,27,16,700,38,9,1013,-14.8,0,N,5.7,Aotizhongxin
111,2015,1,5,14,29,154,17,9,600,44,8,1010,-14.9,0,N,5.8,Aotizhongxin
112,2015,1,5,15,21,134,11,6,500,51,8,1014,-16.4,0,NNE,5.3,Aotizhongxin
113,2015,1,5,16,15,160,3,2,400,62,6,1017,-18,0,NNE,4.9,Aotizhongxin
114,2015,1,5,17,12,110,3,2,400,58,5,1015,-18.1,0,NE,4.9,Aotizhongxin
115,2015,1,5,18,9,61,3,2,400,56,3,1018,-21.2,0,NNE,3.7,Aotizhongxin
116,2015,1,5,19,14,177,2,2,400,59,3,1017,-22.8,0,NNE,4.1,Aotizhongxin
117,2015,1,5,20,9,53,3,2,400,57,2,1019,-24.5,0,NE,4,Aotizhongxin
118,2015,1,5,21,3,34,3,2,400,59,1,1023,-25.3,0,NE,2.6,Aotizhongxin
119,2015,1,5,22,8,11,3,2,400,59,1,1021,-22.8,0,NNE,3.8,Aotizhongxin
120,2015,1,5,23,5,14,2,2,400,56,0,1026,-22.9,0,NNE,2.1,Aotizhongxin
121,2015,1,6,0,13,29,16,11,500,42,-1,1026,-25.2,0,NNE,2.9,Aotizhongxin
122,2015,1,6,1,9,12,23,11,500,40,-1,1024,-25.2,0,NNE,3,Aotizhongxin
123,2015,1,6,2,10,11,23,14,500,37,-2,1023,-26,0,NE,2.7,Aotizhongxin
124,2015,1,6,3,8,11,21,15,500,36,-2,1021,-23.9,0,ENE,2.7,Aotizhongxin
125,2015,1,6,4,9,9,23,14,600,35,-1,1026,-21.8,0,NE,2.2,Aotizhongxin
126,2015,1,6,5,8,9,25,15,600,34,-2,1021,-21.5,0,ENE,1.9,Aotizhongxin
127,2015,1,6,6,9,15,25,15,600,32,-2,1021,-20.9,0,ENE,1.8,Aotizhongxin
128,2015,1,6,7,12,12,30,31,700,18,-4,1022,-21.6,0,S,0.6,Aotizhongxin
129,2015,1,6,8,10,16,35,50,800,4,-4,1023,-19.9,0,ESE,0.9,Aotizhongxin
130,2015,1,6,9,12,19,30,41,700,15,-1,1024,-21.2,0,ENE,3.2,Aotizhongxin
131,2015,1,6,10,14,18,29,26,700,29,2,1020,-20.6,0,ENE,2.1,Aotizhongxin
132,2015,1,6,11,16,18,19,18,800,40,3,1020,-22,0,N,1.1,Aotizhongxin
133,2015,1,6,12,12,12,14,12,700,48,3,1018,-22.8,0,N,2.3,Aotizhongxin
134,2015,1,6,13,10,10,12,10,700,49,3,1019,-22.8,0,WSW,3.5,Aotizhongxin
135,2015,1,6,14,21,32,15,35,800,32,3,1019,-23.7,0,SW,3.7,Aotizhongxin
136,2015,1,6,15,22,48,12,33,800,36,4,1022,-22,0,WSW,3.5,Aotizhongxin
137,2015,1,6,16,26,49,12,44,800,30,3,1017,-23.7,0,WSW,3.7,Aotizhongxin
138,2015,1,6,17,36,69,15,55,800,23,3,1021,-22,0,WSW,3.1,Aotizhongxin
139,2015,1,6,18,49,100,17,67,1000,8,2,1017,-22,0,SW,2.1,Aotizhongxin
140,2015,1,6,19,52,105,20,73,1000,2,0,1020,-19.8,0,WSW,1.9,Aotizhongxin
141,2015,1,6,20,59,106,29,79,1200,2,1,1019,-20.7,0,WSW,2.5,Aotizhongxin
142,2015,1,6,21,85,165,43,82,1400,2,-1,1021,-19.1,0,WSW,1.4,Aotizhongxin
143,2015,1,6,22,91,203,44,83,1600,2,-4,1020,-18.3,0,W,1.3,Aotizhongxin
144,2015,1,6,23,98,245,49,83,1800,2,-5,1021,-16.8,0,WSW,0.5,Aotizhongxin
145,2015,1,7,0,100,161,58,85,2200,2,-5,1021,-17.2,0,NW,0.7,Aotizhongxin
146,2015,1,7,1,105,140,60,90,2700,2,-6,1020,-13.6,0,NE,0.8,Aotizhongxin
147,2015,1,7,2,105,140,51,88,2600,2,-6,1021,-16.9,0,NE,1.2,Aotizhongxin
148,2015,1,7,3,52,52,32,61,1400,2,-7,1023,-16.4,0,NNW,0.6,Aotizhongxin
149,2015,1,7,4,27,27,22,50,1000,2,-7,1022,-14.5,0,NW,0.7,Aotizhongxin
150,2015,1,7,5,19,19,20,36,800,12,-7,1023,-14.1,0,NNE,0.2,Aotizhongxin
151,2015,1,7,6,17,17,12,32,800,16,-7,1019,-16.7,0,ENE,0.7,Aotizhongxin
152,2015,1,7,7,15,15,10,43,800,6,-5,1022,-18.5,0,NE,0.9,Aotizhongxin
153,2015,1,7,8,16,20,21,59,900,2,-5,1026,-16.8,0,NE,1.1,Aotizhongxin
154,2015,1,7,9,21,28,26,55,1000,2,-1,1027,-17.7,0,NNE,1.2,Aotizhongxin
155,2015,1,7,10,25,34,32,50,1000,11,1,1027,-18.9,0,ENE,1.8,Aotizhongxin
156,2015,1,7,11,38,56,38,60,1400,7,2,1025,-18.7,0,ENE,1.5,Aotizhongxin
157,2015,1,7,12,46,60,44,58,1700,13,3,1025,-18.4,0,NNE,2.1,Aotizhongxin
158,2015,1,7,13,36,48,33,40,1300,30,3,1021,-19.1,0,NNW,2.8,Aotizhongxin
159,2015,1,7,14,42,60,34,50,1400,23,3,1025,-20.4,0,WSW,1.7,Aotizhongxin
160,2015,1,7,15,53,74,42,58,1600,19,3,1023,-20.4,0,NNW,1.3,Aotizhongxin
161,2015,1,7,16,57,86,47,67,1800,14,3,1026,-19.7,0,NE,0.5,Aotizhongxin
162,2015,1,7,17,64,95,54,79,2100,2,1,1026,-15.1,0,SE,0.1,Aotizhongxin
163,2015,1,7,18,74,122,51,89,2300,2,-2,1025,-16.2,0,NW,0.7,Aotizhongxin
164,2015,1,7,19,71,125,43,90,2300,2,-4,1025,-17.9,0,SSW,0.4,Aotizhongxin
165,2015,1,7,20,63,100,37,84,2000,2,-5,1024,-14.3,0,SSE,0.4,Aotizhongxin
166,2015,1,7,21,63,94,33,84,1900,2,-6,1026,-12.9,0,SE,0.4,Aotizhongxin
167,2015,1,7,22,74,121,39,86,1900,2,-6,1024,-16.6,0,ENE,1,Aotizhongxin
168,2015,1,7,23,83,125,38,80,1800,2,-5,1028,-17.5,0,NE,0.7,Aotizhongxin
169,2015,1,8,0,65,90,32,74,2200,2,-7,1026,-15.4,0,SW,0,Aotizhongxin
170,2015,1,8,1,63,91,24,71,2200,2,-7,1028,-13.3,0,SW,0.3,Aotizhongxin
171,2015,1,8,2,67,92,24,71,2300,2,-7,1025,-12.7,0,NW,0.8,Aotizhongxin
172,2015,1,8,3,67,81,29,72,2000,2,-6,1026,-14.5,0,ENE,1.7,Aotizhongxin
173,2015,1,8,4,157,181,86,98,5100,2,-5,1025,-16.2,0,NE,1.6,Aotizhongxin
174,2015,1,8,5,177,230,69,91,5100,2,-6,1027,-16.6,0,ENE,1.5,Aotizhongxin
175,2015,1,8,6,155,197,60,85,4100,2,-6,1026,-15.8,0,ENE,1.6,Aotizhongxin
176,2015,1,8,7,119,155,59,76,3700,2,-6,1027,-14.3,0,ENE,1.2,Aotizhongxin
177,2015,1,8,8,99,120,49,73,2900,2,-6,1024,-12.3,0,NE,1.4,Aotizhongxin
178,2015,1,8,9,65,80,53,64,2000,2,-4,1028,-12.2,0,NE,1.2,Aotizhongxin
179,2015,1,8,10,59,78,47,58,1800,2,-1,1026,-11.5,0,NE,1.1,Aotizhongxin
180,2015,1,8,11,65,85,44,58,1700,2,0,1022,-12,0,ENE,1.3,Aotizhongxin
181,2015,1,8,12,80,105,48,72,2000,2,2,1025,-11.9,0,WNW,0.9,Aotizhongxin
182,2015,1,8,13,84,116,50,82,2100,2,3,1020,-12.9,0,W,2.3,Aotizhongxin
183,2015,1,8,14,110,158,50,115,2700,2,4,1021,-14.8,0,SSW,1.5,Aotizhongxin
184,2015,1,8,15,157,206,63,145,3500,2,4,1019,-15.9,0,SW,2.2,Aotizhongxin
185,2015,1,8,16,NA,NA,NA,NA,NA,NA,4,1020,-15.9,0,WSW,2.4,Aotizhongxin
186,2015,1,8,17,139,207,50,126,3100,2,3,1020,-14.2,0,SSW,1.4,Aotizhongxin
187,2015,1,8,18,161,235,52,133,3500,2,1,1022,-13.1,0,SSW,0.9,Aotizhongxin
188,2015,1,8,19,163,227,54,136,3700,2,0,1019,-12,0,N,0.7,Aotizhongxin
189,2015,1,8,20,166,220,63,140,4000,2,-2,1021,-11.3,0,ENE,0.6,Aotizhongxin
190,2015,1,8,21,250,347,81,174,5700,2,-1,1024,-10.6,0,NE,1.5,Aotizhongxin
191,2015,1,8,22,274,353,63,174,6300,2,-1,1021,-11.5,0,ENE,1.3,Aotizhongxin
192,2015,1,8,23,222,287,80,159,4700,2,-1,1022,-11.2,0,ENE,2.1,Aotizhongxin
193,2015,1,9,0,192,232,109,138,4900,2,-4,1020,-10.8,0,ENE,0.6,Aotizhongxin
194,2015,1,9,1,170,204,94,124,4200,2,-4,1021,-11.3,0,NE,1.6,Aotizhongxin
195,2015,1,9,2,158,197,75,124,4100,2,-2,1024,-10.3,0,ENE,1.1,Aotizhongxin
196,2015,1,9,3,160,194,83,127,4000,2,-2,1023,-11.1,0,NE,1.3,Aotizhongxin
197,2015,1,9,4,162,189,82,126,4300,2,1,1024,-14.7,0,NE,1.8,Aotizhongxin
198,2015,1,9,5,68,68,45,85,2100,2,-1,1024,-14.2,0,W,0.7,Aotizhongxin
199,2015,1,9,6,35,35,26,68,1400,2,-1,1022,-15.6,0,N,0.9,Aotizhongxin
200,2015,1,9,7,17,17,18,45,800,2,1,1024,-17.9,0,NNE,2,Aotizhongxin
201,2015,1,9,8,10,23,22,35,700,12,0,1025,-17.7,0,ENE,1.3,Aotizhongxin
202,2015,1,9,9,11,31,24,25,700,23,2,1023,-18.1,0,NNE,3.5,Aotizhongxin
203,2015,1,9,10,18,35,26,23,700,31,3,1026,-19.1,0,NE,1.9,Aotizhongxin
204,2015,1,9,11,17,30,25,17,700,45,5,1022,-18.8,0,N,2.8,Aotizhongxin
205,2015,1,9,12,6,20,16,10,600,56,5,1026,-18.8,0,NNE,2.5,Aotizhongxin
206,2015,1,9,13,8,12,12,8,600,60,6,1025,-18,0,NE,2.5,Aotizhongxin
207,2015,1,9,14,12,12,11,6,600,63,7,1022,-18.8,0,ENE,3,Aotizhongxin
208,2015,1,9,15,9,10,10,8,600,64,8,1019,-18,0,NE,1.8,Aotizhongxin
209,2015,1,9,16,6,16,11,10,500,62,8,1019,-17.1,0,NW,2.1,Aotizhongxin
210,2015,1,9,17,11,18,11,23,600,52,6,1020,-17.3,0,WNW,1.8,Aotizhongxin
211,2015,1,9,18,11,12,8,36,700,40,1,1020,-16.4,0,SW,0.9,Aotizhongxin
212,2015,1,9,19,18,43,12,78,1000,5,1,1020,-12.4,0,WSW,1.4,Aotizhongxin
213,2015,1,9,20,82,127,36,106,1700,2,0,1021,-14.8,0,SW,1.2,Aotizhongxin
214,2015,1,9,21,127,182,57,121,2300,2,1,1020,-12.8,0,SW,1.4,Aotizhongxin
215,2015,1,9,22,253,320,125,153,3600,3,3,1018,-12.5,0,SW,2.5,Aotizhongxin
216,2015,1,9,23,262,317,120,148,3700,2,1,1018,-12.4,0,WSW,1.4,Aotizhongxin
217,2015,1,10,0,268,324,118,142,3500,3,-1,1018,-13.2,0,NW,1.2,Aotizhongxin
218,2015,1,10,1,226,270,118,128,3200,3,-4,1021,-13.4,0,W,0.4,Aotizhongxin
219,2015,1,10,2,234,278,116,129,3400,2,-5,1022,-13.4,0,NNW,0.9,Aotizhongxin
220,2015,1,10,3,242,288,95,131,3700,2,-5,1019,-12.9,0,SSW,0.6,Aotizhongxin
221,2015,1,10,4,217,260,65,123,4200,2,-7,1016,-12.1,0,SE,0.5,Aotizhongxin
222,2015,1,10,5,182,207,58,107,4200,2,-7,1015,-11.4,0,W,0.7,Aotizhongxin
223,2015,1,10,6,149,168,47,95,4000,2,-7,1015,-12.5,0,NW,0.6,Aotizhongxin
224,2015,1,10,7,137,158,46,94,3700,2,-6,1015,-12.5,0,NE,1.1,Aotizhongxin
225,2015,1,10,8,118,128,56,88,3100,2,-7,1017,-12.3,0,ENE,1.1,Aotizhongxin
226,2015,1,10,9,102,133,50,85,3100,2,-5,1018,-10.6,0,W,0.7,Aotizhongxin
227,2015,1,10,10,116,142,64,101,3400,2,1,1017,-11.4,0,NNE,1,Aotizhongxin
228,2015,1,10,11,140,197,69,131,4700,2,5,1018,-11.2,0,E,0.7,Aotizhongxin
229,2015,1,10,12,134,164,60,142,4400,3,9,1015,-14.1,0,NNW,0.9,Aotizhongxin
230,2015,1,10,13,76,76,40,109,2300,10,11,1015,-16.4,0,W,2.4,Aotizhongxin
231,2015,1,10,14,46,50,30,72,1600,27,13,1014,-16.9,0,W,2.2,Aotizhongxin
